num_seen,message,empathy,ignore
2884,tired,tired,
4,tired overwhelmed,"tired, stress, vulnerable",
253,exhausted,tired,
61,drained,tired,
31,tired but happy,"tired, happy",
30,im tired,tired,
29,very tired,tired,
28,a bit tired,tired,
28,i feel tired,tired,
25,tired but good,"tired, good",
24,worn out,tired,
23,lethargic,tired,
23,a little tired,tired,
16,tired and sad,"tired, sad",
15,groggy,tired,
13,tired but content,"tired, calm",
13,weary,tired,
12,sluggish,tired,
11,tired but ok,"tired, okay",
11,im feeling tired,tired,
11,tired and sleepy,"tired, sleep",
10,tired but okay,"tired, okay",
9,tired and hungry,"tired, hungry",
9,pretty tired,tired,
9,little tired,tired,
8,feeling tired,tired,
8,tired and bored,"tired, bored",
8,tired and stressed,"tired, stress",
8,tired and sore,"tired, pain",
8,really tired,tired,
8,tired and lonely,"tired, lonely",
7,tired but satisfied,"tired, stable",
7,tired and anxious,"tired, anxious",
7,tired sad,"tired, sad",
7,tired and happy,"tired, happy",
6,tired anxious,"tired, anxious",
6,i am tired,tired,
6,fatigued,tired,
5,tired worried,"tired, anxious",
5,a little bit tired,tired,
5,i feel exhausted,tired,
5,so tired,tired,
5,tired and sick,"tired, sick",
5,tired but hopeful,"tired, hopeful",
5,burnt out,tired,
5,bit tired,tired,
5,just tired,tired,
5,tired and calm,"tired, calm",
5,overworked,"tired, stress, vulnerable",
4,tired and annoyed,"tired, annoyed",
4,tired and frustrated,"tired, annoyed",
4,tired but excited,"tired, excited",
4,tierd,tired,
4,drowsy,tired,
4,hot and tired,"tired, uneasy",
4,tired and unmotivated,"tired, unmotivated",
4,tired but calm,"tired, calm",
4,tire,tired,
4,😴,tired,
4,tired and depressed,"tired, depressed",
4,tired sore,"tired, pain",
4,tired af,tired,
4,tired and worried,"tired, anxious",
4,tired and aggravated,"tired, flustered",
4,tired relaxed,"tired, calm",
4,physically tired,tired,
3,tired content,"tired, calm",
3,tired annoyed,"tired, annoyed",
3,little bit tired,tired,
3,tires,tired,
3,tiref,tired,
3,mentally exhausted,tired,
3,tired numb,"tired, disconnected",
3,tired and drained,tired,
3,tired but pretty good,"tired, good",
3,tired and nervous,"tired, anxious",
3,tired but optimistic,"tired, hopeful",
3,tired and irritated,"tired, annoyed",
3,tired  sad,"tired, sad",
3,im a little tired,tired,
3,kind of tired,tired,
3,tired but fine,"tired, okay",
3,i feel tired but happy,"tired, happy",
3,tied,tired,
3,i feel drained,tired,
3,tired and confused,"tired, confused",
3,tired exhausted,tired,
3,tired but fulfilled,"tired, stable, calm",
3,tired and a bit frustrated,"tired, annoyed",
3,kinda tired,tired,
3,not tired,engaged,
3,tired but accomplished,"tired, confidence",
3,exhausted and frustrated,"tired, annoyed",
3,tired happy,"tired, happy",
3,extremely tired,tired,
3,a bit tired but fine,"tired, okay",
3,i am feeling tired,tired,
3,foggy,"tired, uneasy",
2,tired and weird,"tired, uneasy, confused",
2,fatigue,tired,
3237,good,good,
1700,happy,happy,
930,great,great,
350,pretty good,great,
133,i feel good,good,
129,[sticker369239263222822],good,
119,satisfied,good,
107,positive,great,
94,optimistic,"great, hopeful",
82,very good,great,
78,im good,good,
56,motivated,great,
56,well,good,
52,amazing,great,
45,im happy,great,
44,im feeling good,good,
36,grateful,great,
35,really good,great,
31,fantastic,great,
30,very happy,great,
26,feeling good,good,
25,i feel happy,happy,
24,i feel pretty good,great,
21,pretty happy,happy,
21,i feel great,great,
17,pleased,happy,
16,wonderful,great,
16,quite good,great,
15,good ,good,
15,happy and excited,"happy,excited",
13,i am feeling good,good,
13,super,great,
13,good happy,happy,
12,good but tired,"good, tired",
12,glad,happy,
12,fulfilled,great,
11,im feeling pretty good,great,
11,happy and relaxed,"happy,calm",
10,im feeling great,great,
10,happy but tired,"happy,tired",
10,joyful,happy,
10,cheerful,happy,
10,perfect,great,
10,amused,happy,
9,pretty great,great,
9,happy 😊,happy,
8,thankful,happy,
8,very well,great,
8,im great,great,
8,its good,good,
8,feel good,good,
8,pretty alright,good,
8,grand,good,
8,good mood,good,
8,happy and content,happy,
7,not so good,sad,
7,happy and tired,"happy, tired",
7,really happy,happy,
7,good and happy,happy,
7,im pretty good,good,
6,happy relaxed,"happy, calm",
6,god,good,
6,happy and calm,"happy, calm",
6,feeling great,great,
6,im feeling very good,great,
6,good 😊,good,
5,good relaxed,"good, calm",
5,full of energy,engaged,
5,😃,great,
5,entertained,happy,
5,happy and sad,"happy, sad",
5,good calm,calm,
5,good i think,good,
5,i feel satisfied,good,
5,good and tired,"good, tired",
5,i feel good today,good,
5,feeling pretty good,great,
5,i’m feeling good,good,
5,good tired,"good, tired",
5,goof,good,
5,i am feeling great,great,
4,pretty positive,great,
4,good productive,determined,
4,funny,confused,
4,fairly good,good,
4,yeah good,good,
4,lol,happy,
4,good content,good,
