index,old_id,message,empathy
0,0,tired,tired
1,0,fatigue,tired
2,1,tired overwhelmed,"tired, stress, vulnerable"
3,1,fatigue overshot,"tired, stress, vulnerable"
4,1,fatigue overshot,"tired, stress, vulnerable"
5,2,exhausted,tired
6,2,weary,tired
7,3,drained,tired
8,4,tired but happy,"tired, happy"
9,4,fatigue but upbeat,"tired, happy"
10,5,im tired,tired
11,5,im fatigue,tired
12,6,very tired,tired
13,6,very fatigue,tired
14,7,a bit tired,tired
15,7,a bit fatigue,tired
16,8,i feel tired,tired
17,8,i feel fatigue,tired
18,9,tired but good,"tired, good"
19,10,worn out,tired
20,10,wear out,tired
21,11,lethargic,tired
22,11,sluggish,tired
23,12,a little tired,tired
24,12,a little fatigue,tired
25,13,tired and sad,"tired, sad"
26,13,fatigue and disheartening,"tired, sad"
27,13,fatigue and bummed,"tired, sad"
28,13,fatigue and sadly,"tired, sad"
29,14,groggy,tired
30,15,tired but content,"tired, calm"
31,15,fatigue but content,"tired, calm"
32,15,fatigue but content,"tired, calm"
33,16,weary,tired
34,16,fatigued,tired
35,17,sluggish,tired
36,18,tired but ok,"tired, okay"
37,18,fatigue but alright,"tired, okay"
38,18,fatigue but okay,"tired, okay"
39,19,im feeling tired,tired
40,19,im feeling fatigue,tired
41,20,tired and sleepy,"tired, sleep"
42,20,fatigue and asleep,"tired, sleep"
43,21,tired but okay,"tired, okay"
44,21,fatigue but ok,"tired, okay"
45,21,fatigue but alright,"tired, okay"
46,21,fatigue but o.k.,"tired, okay"
47,22,tired and hungry,"tired, hungry"
48,22,fatigue and hunger,"tired, hungry"
49,22,fatigue and starvation,"tired, hungry"
50,23,pretty tired,tired
51,23,pretty fatigue,tired
52,24,little tired,tired
53,24,little fatigue,tired
54,25,feeling tired,tired
55,25,feeling fatigue,tired
56,26,tired and bored,"tired, bored"
57,27,tired and stressed,"tired, stress"
58,27,fatigue and stress,"tired, stress"
59,27,fatigue and stressing,"tired, stress"
60,28,tired and sore,"tired, pain"
61,28,fatigue and threw,"tired, pain"
62,28,fatigue and painful,"tired, pain"
63,29,really tired,tired
64,29,really fatigue,tired
65,30,tired and lonely,"tired, lonely"
66,30,fatigue and alone,"tired, lonely"
67,31,tired but satisfied,"tired, stable"
68,31,fatigue but appreciative,"tired, stable"
69,32,tired and anxious,"tired, anxious"
70,32,fatigue and wanted,"tired, anxious"
71,33,tired sad,"tired, sad"
72,33,fatigue bummed,"tired, sad"
73,34,tired and happy,"tired, happy"
74,34,fatigue and upbeat,"tired, happy"
75,35,tired anxious,"tired, anxious"
76,36,i am tired,tired
77,36,i am fatigue,tired
78,37,fatigued,tired
79,37,weary,tired
80,38,tired worried,"tired, anxious"
81,38,fatigue concerned,"tired, anxious"
82,39,a little bit tired,tired
83,39,a little bit fatigue,tired
84,40,i feel exhausted,tired
85,40,i feel weary,tired
86,41,so tired,tired
87,42,tired and sick,"tired, sick"
88,43,tired but hopeful,"tired, hopeful"
89,43,fatigue but upbeat,"tired, hopeful"
90,43,fatigue but hope,"tired, hopeful"
91,44,burnt out,tired
92,44,burned out,tired
93,45,bit tired,tired
94,45,bit fatigue,tired
95,46,just tired,tired
96,46,just fatigue,tired
97,47,tired and calm,"tired, calm"
98,47,fatigue and cool,"tired, calm"
99,47,fatigue and quiet,"tired, calm"
